"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"CTA|IT","27.08.2017 02:00 - 27.08.2017 03:00 (CET)","420","n/e","245","5481","3110","59","n/e","n/e","653","2","","2498","439","n/e","n/e","6484","n/e","0","48","n/e","258"
"CTA|IT","27.08.2017 03:00 - 27.08.2017 04:00 (CET)","423","n/e","253","5452","3133","59","n/e","n/e","653","0","473","2164","421","n/e","n/e","6283","n/e","0","49","n/e","327"
"CTA|IT","27.08.2017 04:00 - 27.08.2017 05:00 (CET)","422","n/e","250","5227","3128","60","n/e","n/e","654","0","617","2088","323","n/e","n/e","6219","n/e","0","49","n/e","357"
"CTA|IT","27.08.2017 05:00 - 27.08.2017 06:00 (CET)","423","n/e","254","5263","3115","59","n/e","n/e","654","0","287","2086","376","n/e","n/e","6198","n/e","0","47","n/e","360"
"CTA|IT","27.08.2017 06:00 - 27.08.2017 07:00 (CET)","424","n/e","242","5393","2921","59","n/e","n/e","655","0","283","2097","345","n/e","n/e","6224","n/e","25","49","n/e","347"
"CTA|IT","27.08.2017 07:00 - 27.08.2017 08:00 (CET)","417","n/e","275","5432","2772","59","n/e","n/e","654","0","202","2306","382","n/e","n/e","6267","n/e","947","48","n/e","290"
"CTA|IT","27.08.2017 08:00 - 27.08.2017 09:00 (CET)","408","n/e","253","5102","2746","71","n/e","n/e","653","0","543","2438","602","n/e","n/e","6124","n/e","3427","49","n/e","172"
"CTA|IT","27.08.2017 09:00 - 27.08.2017 10:00 (CET)","410","n/e","252","4876","2919","83","n/e","n/e","652","0","554","2492","499","n/e","n/e","6075","n/e","5950","48","n/e","149"
"CTA|IT","27.08.2017 10:00 - 27.08.2017 11:00 (CET)","411","n/e","258","4763","3222","109","n/e","n/e","650","0","552","2520","535","n/e","n/e","5934","n/e","7776","42","n/e","208"
"CTA|IT","27.08.2017 11:00 - 27.08.2017 12:00 (CET)","407","n/e","253","4928","3094","12","n/e","n/e","647","0","591","2242","452","n/e","n/e","5862","n/e","8950","37","n/e","308"
"CTA|IT","27.08.2017 12:00 - 27.08.2017 13:00 (CET)","407","n/e","241","4991","3085","15","n/e","n/e","644","0","587","2138","654","n/e","n/e","5711","n/e","9559","36","n/e","475"
"CTA|IT","27.08.2017 13:00 - 27.08.2017 14:00 (CET)","401","n/e","261","4831","3309","84","n/e","n/e","644","0","1047","2094","654","n/e","n/e","5567","n/e","9627","36","n/e","696"
"CTA|IT","27.08.2017 14:00 - 27.08.2017 15:00 (CET)","405","n/e","272","4892","3346","135","n/e","n/e","644","0","1197","2120","669","n/e","n/e","5636","n/e","9179","44","n/e","959"
"CTA|IT","27.08.2017 15:00 - 27.08.2017 16:00 (CET)","400","n/e","268","4941","3537","134","n/e","n/e","644","0","796","2227","880","n/e","n/e","5716","n/e","8211","45","n/e","1227"
"CTA|IT","27.08.2017 16:00 - 27.08.2017 17:00 (CET)","403","n/e","245","5527","3753","134","n/e","n/e","645","141","152","2385","1083","n/e","n/e","6028","n/e","6530","44","n/e","1318"
"CTA|IT","27.08.2017 17:00 - 27.08.2017 18:00 (CET)","410","n/e","235","6615","3811","188","n/e","n/e","646","272","","2575","1260","n/e","n/e","6329","n/e","4225","45","n/e","1227"
"CTA|IT","27.08.2017 18:00 - 27.08.2017 19:00 (CET)","411","n/e","238","7409","3781","176","n/e","n/e","646","201","","3494","1605","n/e","n/e","6693","n/e","1692","44","n/e","970"
"CTA|IT","27.08.2017 19:00 - 27.08.2017 20:00 (CET)","410","n/e","243","7791","3806","136","n/e","n/e","649","731","","4525","1801","n/e","n/e","7051","n/e","156","46","n/e","699"
